# Directed graph: sicris.txt (Collaboration of researchers on projects)
# Nodes: 11511 Edges: 375488
# FromNodeId	ToNodeId
3955	3955
3955	6100
3955	4191
3955	7203
3955	4185
3955	6102
3955	8305
3955	4806
3955	4960
3955	5441
3955	4193
3955	5102
3955	5627
3955	6898
3955	6245
3955	6111
3955	6244
3955	7716
3955	5769
3955	5992
3955	8059
3955	13806
3955	4190
3955	6483
3955	4282
3955	4772
3955	6170
3955	6003
3955	5928
3955	13779
3955	5768
3955	6525
3955	4196
3955	7601
3955	4178
3955	10488
3955	6009
3955	34584
3955	4291
3955	5979
3955	8837
3955	8645
3955	6611
3955	6710
3955	19501
3955	17563
3955	9076
3955	4435
3955	20159
3955	8559
3955	15686
3955	8878
3955	5811
3955	22689
3955	4879
3955	6720
3955	11340
3955	5579
3955	9898
3955	4199
3955	7824
3955	4043
3955	17181
3955	6196
3955	6861
3955	12564
3955	20353
3955	32517
3955	7158
3955	10486
3955	11268
3955	5341
3955	7800
3955	4128
3955	7974
3955	12116
3955	9912
3955	6349
3955	4700
3955	6709
3955	4771
3955	17737
3955	5283
3955	13386
3955	8132
3955	9705
3955	4702
3955	10922
3955	3977
3955	4152
3955	5091
3955	8459
3955	10720
3955	6632
3955	17183
3955	16677
3955	8269
3955	6358
3955	11206
3955	8789
3955	19028
3955	4548
3955	6731
3955	12239
3955	35385
3955	5589
3955	4011
3955	5554
3955	9517
3955	6612
3955	4964
3955	11531
3955	7448
3955	4195
3955	32518
3955	10487
3955	31408
3955	20163
3955	3979
3955	21696
3955	9538
3955	11955
3955	14722
3955	5542
3955	15076
3955	19431
3955	4166
3955	4710
3956	3956
3956	6528
3956	10906
3956	6384
3956	9463
3956	10019
3956	34732
3956	32090
3956	6897
3956	10021
3956	4213
3956	35508
3956	4054
3956	5072
3956	10052
3956	13537
3956	17601
3956	7359
3956	7353
3956	20361
3956	35961
3956	20181
3956	38980
3956	5534
3956	4225
3956	20550
3956	6165
3957	3957
3957	4240
3957	10036
3957	9560
3957	4490
3957	8271
3957	12808
3957	4968
3957	4721
3957	8833
3957	8162
3957	9429
3957	11174
3957	11617
3957	6770
3957	4303
3957	7963
3957	8325
3957	20796
3957	16878
3957	14429
3957	5162
3957	4618
3957	8723
3957	6110
3957	11029
3957	8911
3957	10515
3957	17284
3957	8105
3957	7563
3957	10516
3957	11388
3957	4305
3957	10517
3957	6322
3957	14813
3957	10266
3957	13490
3957	11027
3957	11516
3957	5397
3957	21061
3957	11355
3957	16877
3957	6810
3957	5014
3957	4693
3957	6674
3957	6768
3957	6755
3957	9273
3957	6113
3957	14183
3957	4066
3957	6811
3957	5951
3957	4934
3957	7305
3957	4307
3957	5298
3957	4280
3957	11389
3957	11024
3957	7566
3957	6766
3957	4018
3957	4942
3957	11357
3958	3958
3958	8143
3959	3959
3959	7425
3959	5669
3959	9637
3959	4073
3959	6337
3959	13233
3959	17750
3959	8367
3959	6959
3959	4077
3959	12143
3959	4070
3959	4071
3959	7550
3959	6791
3959	7695
3959	8366
3959	9613
3959	6720
3959	7999
3959	9290
3959	5528
3959	4623
3959	5929
3959	11645
3959	4624
3959	10720
3959	14031
3959	4591
3959	10287
3959	12256
3959	21253
3959	16044
3959	6602
3959	5427
3959	9580
3959	6268
3959	4428
3959	18156
3959	18157
3959	7530
3959	19377
3959	8088
3959	10390
3959	31139
3959	4857
3959	4523
3959	6505
3959	7090
3959	9488
3959	10281
3959	12328
3959	5283
3959	7311
3959	4655
3959	21174
3959	3961
3959	4327
3959	7451
3959	4256
3959	4798
3959	11644
3959	7703
3959	6568
3959	10905
3959	7426
3959	20299
3959	21497
3959	17645
3959	6390
3959	8696
3959	7907
3959	5450
3959	5027
3959	21460
3959	14641
3959	4640
3959	13595
3959	6141
3959	12834
3959	10285
3959	8373
3959	9644
3959	4621
3959	8000
3959	4164
3959	14164
3959	10976
3959	10451
3959	5029
3959	9253
3959	8500
3959	20808
3959	14457
3959	20233
3959	6330
3959	9640
3959	9300
3959	4075
3959	5028
3959	5063
3959	5556
3959	20251
3959	7534
3959	13821
3959	16409
3961	3961
3961	6268
3961	7095
3961	6337
3961	5840
3961	5528
3961	7425
3961	5556
3961	9613
3961	6720
3961	4070
3961	5283
3961	4071
3961	4587
3961	6140
3961	7426
3961	4082
3961	4078
3961	6141
3961	5440
3961	5063
