9993	0
8790	2
5858	2
33391	0
13224	0
12156	0
9005	0
5814	1
6592	2
4585	0
15188	2
17549	0
4496	2
5565	2
16561	2
5050	2
4568	0
20946	0
9383	2
13255	0
34061	0
7047	2
34452	0
7561	0
7251	2
5299	0
6793	0
6794	0
5301	2
6445	2
4575	2
7285	2
4091	0
9594	0
5897	0
21209	2
8302	0
6901	2
12139	0
17173	1
4902	0
6606	2
32630	0
12095	2
4922	0
17016	1
6996	0
4016	0
7404	0
35308	2
10560	0
6590	2
16560	0
16463	0
10172	0
5698	5
16751	2
8582	2
16454	2
8258	0
20030	0
9294	0
8542	2
7778	2
31569	2
19162	0
8198	0
8114	0
4975	2
6788	0
9424	5
32380	0
13047	0
34020	0
19758	0
6618	0
12533	0
6655	2
5424	0
13505	0
5418	0
4169	0
8811	0
33884	2
6290	2
12278	2
6978	2
8930	2
6533	0
13263	0
11532	0
12113	2
32411	0
32787	2
18230	2
21363	2
5179	2
4362	0
8216	0
6908	0
13223	1
9163	1
11243	0
10147	2
7764	2
4249	0
31568	2
20226	0
